engine,arm,round,row_index,feature,gamma,prediction_gap,attribution
xgboost,legacy,2,889,duration,0.0006261892187620237,-0.09031944023445249,-0.00030105434682226967
xgboost,legacy,2,889,sex,0.0,-0.09031944023445249,-0.0
xgboost,legacy,2,889,urinary_calcium_excretion,0.09787644018628514,-0.09031944023445249,0.02671146328501855
xgboost,legacy,2,889,parathyroid_suppression,0.0,-0.09031944023445249,-0.0
xgboost,legacy,2,889,hypercalciuria_predisposition,0.0,-0.09031944023445249,-0.0
xgboost,legacy,2,889,history_of_nephrolithiasis,0.20041781941724301,-0.09031944023445249,-0.0057764950057317705
xgboost,legacy,2,889,vitamin_d_inflight,0.07711793225265186,-0.09031944023445249,-0.018014475816623708
xgboost,legacy,2,889,nutrients_risk,0.07214888047342888,-0.09031944023445249,0.0004263574104359547
xgboost,legacy,2,889,urinary_oxalate_excretion,0.09408988750834485,-0.09031944023445249,-0.011538670699592598
xgboost,legacy,2,889,bone_formation,0.0,-0.09031944023445249,0.0
xgboost,legacy,2,889,bone_resorption,0.0,-0.09031944023445249,-0.0
xgboost,legacy,2,889,hydration_fluid_intake,0.23815397802535107,-0.09031944023445249,-0.007972756017004132
xgboost,legacy,2,889,urine_chemistry,0.21956887291793314,-0.09031944023445249,-0.07385380904413252
xgboost,direction_fixed_stale_reversal,2,889,duration,0.0005459168462758089,-0.09031944023445249,-0.00022503611489788482
xgboost,direction_fixed_stale_reversal,2,889,sex,0.0,-0.09031944023445249,-0.0
xgboost,direction_fixed_stale_reversal,2,889,urinary_calcium_excretion,0.09151332761897414,-0.09031944023445249,0.021413628838353474
xgboost,direction_fixed_stale_reversal,2,889,parathyroid_suppression,0.06517515213376618,-0.09031944023445249,-0.008796187204088363
xgboost,direction_fixed_stale_reversal,2,889,hypercalciuria_predisposition,0.04460295085718532,-0.09031944023445249,-0.011411116150829457
xgboost,direction_fixed_stale_reversal,2,889,history_of_nephrolithiasis,0.17472588258552646,-0.09031944023445249,-0.004317891462249283
xgboost,direction_fixed_stale_reversal,2,889,vitamin_d_inflight,0.06723203962200254,-0.09031944023445249,-0.0134657004374302
xgboost,direction_fixed_stale_reversal,2,889,nutrients_risk,0.05878140009800595,-0.09031944023445249,0.000297831448930976
xgboost,direction_fixed_stale_reversal,2,889,urinary_oxalate_excretion,0.08202832804523588,-0.09031944023445249,-0.008625079334447595
xgboost,direction_fixed_stale_reversal,2,889,bone_formation,0.0,-0.09031944023445249,0.0
xgboost,direction_fixed_stale_reversal,2,889,bone_resorption,0.016348503517531483,-0.09031944023445249,-0.0040250785763605865
xgboost,direction_fixed_stale_reversal,2,889,hydration_fluid_intake,0.2076245721200251,-0.09031944023445249,-0.00595958190949006
xgboost,direction_fixed_stale_reversal,2,889,urine_chemistry,0.19142192655547113,-0.09031944023445249,-0.0552052293319435
xgboost,direction_and_reversal_fixed,2,889,duration,0.0005436776664056933,-0.09031944023445249,-0.00022508812041912356
xgboost,direction_and_reversal_fixed,2,889,sex,0.0,-0.09031944023445249,-0.0
xgboost,direction_and_reversal_fixed,2,889,urinary_calcium_excretion,0.0911379686197976,-0.09031944023445249,0.021418577497060352
xgboost,direction_and_reversal_fixed,2,889,parathyroid_suppression,0.0649078240787973,-0.09031944023445249,-0.008798219990251016
xgboost,direction_and_reversal_fixed,2,889,hypercalciuria_predisposition,0.04442000352667428,-0.09031944023445249,-0.011413753243296187
xgboost,direction_and_reversal_fixed,2,889,history_of_nephrolithiasis,0.17400921175599865,-0.09031944023445249,-0.004318889320731903
xgboost,direction_and_reversal_fixed,2,889,vitamin_d_inflight,0.06695627485897059,-0.09031944023445249,-0.013468812341359094
xgboost,direction_and_reversal_fixed,2,889,nutrients_risk,0.06264198391522359,-0.09031944023445249,0.00031877296958096916
xgboost,direction_and_reversal_fixed,2,889,urinary_oxalate_excretion,0.08169187354270285,-0.09031944023445249,-0.008627072577828628
xgboost,direction_and_reversal_fixed,2,889,bone_formation,0.0,-0.09031944023445249,0.0
xgboost,direction_and_reversal_fixed,2,889,bone_resorption,0.016281447078015647,-0.09031944023445249,-0.00402600876620805
xgboost,direction_and_reversal_fixed,2,889,hydration_fluid_intake,0.2067729611730392,-0.09031944023445249,-0.005960959160264714
xgboost,direction_and_reversal_fixed,2,889,urine_chemistry,0.19063677378437457,-0.09031944023445249,-0.05521798718073509
xgboost,legacy,2,437,duration,0.0006261892187620237,-0.08766210358589888,0.0003132186898195014
xgboost,legacy,2,437,sex,0.0,-0.08766210358589888,-0.0
xgboost,legacy,2,437,urinary_calcium_excretion,0.09787644018628514,-0.08766210358589888,-0.08536493309514345
xgboost,legacy,2,437,parathyroid_suppression,0.0,-0.08766210358589888,0.0
xgboost,legacy,2,437,hypercalciuria_predisposition,0.0,-0.08766210358589888,0.0
xgboost,legacy,2,437,history_of_nephrolithiasis,0.20041781941724301,-0.08766210358589888,-0.05469005954366983
xgboost,legacy,2,437,vitamin_d_inflight,0.07711793225265186,-0.08766210358589888,-0.005708570681929958
xgboost,legacy,2,437,nutrients_risk,0.07214888047342888,-0.08766210358589888,-0.03288163766069472
xgboost,legacy,2,437,urinary_oxalate_excretion,0.09408988750834485,-0.08766210358589888,0.036510279905322976
xgboost,legacy,2,437,bone_formation,0.0,-0.08766210358589888,-0.0
xgboost,legacy,2,437,bone_resorption,0.0,-0.08766210358589888,0.0
xgboost,legacy,2,437,hydration_fluid_intake,0.23815397802535107,-0.08766210358589888,0.03799758385592057
xgboost,legacy,2,437,urine_chemistry,0.21956887291793314,-0.08766210358589888,0.01616201494447604
xgboost,direction_fixed_stale_reversal,2,437,duration,0.0005459168462758089,-0.08766210358589888,0.000870183131678608
xgboost,direction_fixed_stale_reversal,2,437,sex,0.0,-0.08766210358589888,-0.0
xgboost,direction_fixed_stale_reversal,2,437,urinary_calcium_excretion,0.09151332761897414,-0.08766210358589888,-0.25434767248637635
xgboost,direction_fixed_stale_reversal,2,437,parathyroid_suppression,0.06517515213376618,-0.08766210358589888,0.05757400951374866
xgboost,direction_fixed_stale_reversal,2,437,hypercalciuria_predisposition,0.04460295085718532,-0.08766210358589888,0.09474956901096923
xgboost,direction_fixed_stale_reversal,2,437,history_of_nephrolithiasis,0.17472588258552646,-0.08766210358589888,-0.15193974316419326
xgboost,direction_fixed_stale_reversal,2,437,vitamin_d_inflight,0.06723203962200254,-0.08766210358589888,-0.01585953225292246
xgboost,direction_fixed_stale_reversal,2,437,nutrients_risk,0.05878140009800595,-0.08766210358589888,-0.08537011184668618
xgboost,direction_fixed_stale_reversal,2,437,urinary_oxalate_excretion,0.08202832804523588,-0.08766210358589888,0.10143273929402158
xgboost,direction_fixed_stale_reversal,2,437,bone_formation,0.0,-0.08766210358589888,-0.0
xgboost,direction_fixed_stale_reversal,2,437,bone_resorption,0.016348503517531483,-0.08766210358589888,0.014762436338215643
xgboost,direction_fixed_stale_reversal,2,437,hydration_fluid_intake,0.2076245721200251,-0.08766210358589888,0.10556476222737467
