"first","second","truth_sign","ordinary_point_agreement","asymmetric_point_agreement","ordinary_bootstrap_mean_agreement","asymmetric_bootstrap_mean_agreement","point_agreement_difference","bootstrap_mean_agreement_difference"
"bone_fracture_risk","mineralized_renal_material",-1,1,1,1,1,0,0
"bone_fracture_risk","nutrients",-1,1,1,1,1,0,0
"bone_fracture_risk","pharm_risk",1,1,1,1,1,0,0
"bone_fracture_risk","resistive_exercise",-1,1,1,1,1,0,0
"bone_fracture_risk","thiazides",-1,1,1,1,1,0,0
"bone_fracture_risk","urine_chemistry",-1,1,1,1,1,0,0
"bone_fracture_risk","urine_concentration",-1,1,1,1,1,0,0
"bone_fracture_risk","vehicle_design",1,1,1,0.998,1,0,0.002
"bone_fracture_risk","water_intake",1,1,1,1,1,0,0
"bone_remodeling","co2_risk",1,1,1,1,1,0,0
"bone_remodeling","crew_health_and_performance_system",1,1,1,1,1,0,0
"bone_remodeling","distance_from_earth",1,1,1,1,1,0,0
"bone_remodeling","food_and_nutrition_risk",1,1,1,1,1,0,0
"bone_remodeling","hostile_closed_environment",1,1,1,1,1,0,0
"bone_remodeling","hsia_risk",1,1,1,1,1,0,0
"bone_remodeling","humidity",1,1,1,1,1,0,0
"bone_remodeling","hydration",1,1,1,1,0.995,0,-0.005
"bone_remodeling","individual_factors",-1,1,1,1,1,0,0
"bone_remodeling","k_plus_citrate",1,1,1,1,1,0,0
"bone_remodeling","medical_prevention_capability",-1,-1,-1,-1,-1,0,0
"bone_remodeling","medical_treatment_capability",1,1,1,1,0.996,0,-0.004
"bone_remodeling","microbiome",1,1,1,1,1,0,0
"bone_remodeling","microhost_risk",1,1,1,1,1,0,0
"bone_remodeling","mineralized_renal_material",-1,1,1,1,1,0,0
"bone_remodeling","nutrients",1,1,1,1,1,0,0
"bone_remodeling","pharm_risk",1,1,1,1,1,0,0
"bone_remodeling","resistive_exercise",1,1,1,1,1,0,0
"bone_remodeling","thiazides",1,-1,-1,-0.92,-0.825,0,0.0950000000000001
"bone_remodeling","urine_chemistry",-1,1,1,1,1,0,0
"bone_remodeling","urine_concentration",1,-1,-1,-0.835,-0.732,0,0.103
"bone_remodeling","vehicle_design",1,1,1,1,1,0,0
"bone_remodeling","water_intake",1,1,1,1,1,0,0
"co2_risk","crew_health_and_performance_system",1,-1,-1,-1,-1,0,0
"co2_risk","distance_from_earth",1,0,0,0,0,0,0
"co2_risk","food_and_nutrition_risk",1,0,0,0,0,0,0
"co2_risk","hostile_closed_environment",1,0,0,0,0,0,0
"co2_risk","hsia_risk",1,0,0,0,0,0,0
"co2_risk","humidity",1,-1,-1,-1,-1,0,0
"co2_risk","hydration",1,-1,-1,-1,-1,0,0
"co2_risk","individual_factors",-1,1,1,1,1,0,0
"co2_risk","k_plus_citrate",-1,1,1,1,1,0,0
"co2_risk","medical_prevention_capability",-1,0,0,0,0,0,0
"co2_risk","medical_treatment_capability",1,-1,-1,-1,-1,0,0
"co2_risk","microbiome",-1,1,1,1,1,0,0
"co2_risk","microhost_risk",1,-1,-1,-1,-1,0,0
"co2_risk","mineralized_renal_material",-1,1,1,1,1,0,0
"co2_risk","nutrients",1,-1,-1,-1,-1,0,0
"co2_risk","pharm_risk",1,0,0,0,0,0,0
"co2_risk","resistive_exercise",1,-1,-1,-1,-1,0,0
"co2_risk","thiazides",-1,1,1,1,1,0,0
"co2_risk","urine_chemistry",-1,1,1,1,1,0,0
"co2_risk","urine_concentration",-1,1,1,1,1,0,0
"co2_risk","vehicle_design",1,-1,-1,-1,-1,0,0
"co2_risk","water_intake",1,0,0,0,0,0,0
"crew_health_and_performance_system","distance_from_earth",1,1,1,1,1,0,0
"crew_health_and_performance_system","food_and_nutrition_risk",1,1,1,1,1,0,0
"crew_health_and_performance_system","hostile_closed_environment",1,1,1,1,1,0,0
"crew_health_and_performance_system","hsia_risk",1,1,1,1,1,0,0
"crew_health_and_performance_system","humidity",1,-1,-1,-0.247,-0.93,0,-0.683
"crew_health_and_performance_system","hydration",-1,1,1,1,1,0,0
"crew_health_and_performance_system","individual_factors",-1,1,1,1,1,0,0
"crew_health_and_performance_system","k_plus_citrate",-1,1,1,1,1,0,0
"crew_health_and_performance_system","medical_prevention_capability",-1,-1,-1,-1,-1,0,0
"crew_health_and_performance_system","medical_treatment_capability",1,-1,-1,-1,-1,0,0
"crew_health_and_performance_system","microbiome",-1,1,1,1,1,0,0
"crew_health_and_performance_system","microhost_risk",-1,1,1,1,1,0,0
"crew_health_and_performance_system","mineralized_renal_material",-1,1,1,1,1,0,0
"crew_health_and_performance_system","nutrients",-1,1,1,1,1,0,0
"crew_health_and_performance_system","pharm_risk",1,1,1,1,1,0,0
"crew_health_and_performance_system","resistive_exercise",-1,1,1,1,1,0,0
"crew_health_and_performance_system","thiazides",-1,1,1,1,1,0,0
"crew_health_and_performance_system","urine_chemistry",-1,1,1,1,1,0,0
"crew_health_and_performance_system","urine_concentration",-1,1,1,1,1,0,0
"crew_health_and_performance_system","vehicle_design",1,-1,-1,-1,-1,0,0
"crew_health_and_performance_system","water_intake",1,1,1,1,1,0,0
"distance_from_earth","food_and_nutrition_risk",-1,0,0,0,0,0,0
"distance_from_earth","hostile_closed_environment",-1,0,0,0,0,0,0
"distance_from_earth","hsia_risk",-1,0,0,0,0,0,0
"distance_from_earth","humidity",-1,1,1,1,1,0,0
"distance_from_earth","hydration",-1,1,1,1,1,0,0
"distance_from_earth","individual_factors",-1,1,1,1,1,0,0
"distance_from_earth","k_plus_citrate",-1,1,1,1,1,0,0
"distance_from_earth","medical_prevention_capability",-1,0,0,0,0,0,0
"distance_from_earth","medical_treatment_capability",-1,1,1,1,1,0,0
"distance_from_earth","microbiome",-1,1,1,1,1,0,0
"distance_from_earth","microhost_risk",-1,1,1,1,1,0,0
"distance_from_earth","mineralized_renal_material",-1,1,1,1,1,0,0
"distance_from_earth","nutrients",-1,1,1,1,1,0,0
"distance_from_earth","pharm_risk",-1,0,0,0,0,0,0
"distance_from_earth","resistive_exercise",-1,1,1,1,1,0,0
"distance_from_earth","thiazides",-1,1,1,1,1,0,0
"distance_from_earth","urine_chemistry",-1,1,1,1,1,0,0
"distance_from_earth","urine_concentration",-1,1,1,1,1,0,0
"distance_from_earth","vehicle_design",1,-1,-1,-1,-1,0,0
"distance_from_earth","water_intake",-1,0,0,0,0,0,0
"food_and_nutrition_risk","hostile_closed_environment",1,0,0,0,0,0,0
"food_and_nutrition_risk","hsia_risk",1,0,0,0,0,0,0
"food_and_nutrition_risk","humidity",1,-1,-1,-1,-1,0,0
"food_and_nutrition_risk","hydration",-1,1,1,1,1,0,0
"food_and_nutrition_risk","individual_factors",-1,1,1,1,1,0,0
"food_and_nutrition_risk","k_plus_citrate",-1,1,1,1,1,0,0
"food_and_nutrition_risk","medical_prevention_capability",-1,0,0,0,0,0,0
"food_and_nutrition_risk","medical_treatment_capability",1,-1,-1,-1,-1,0,0
"food_and_nutrition_risk","microbiome",-1,1,1,1,1,0,0
